grammar,vodA,ruukA,brAt,led,sekIra,prodAavnica,uraadIse,solution
1,vo(dA),ruu(kA),(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
2,vo(dA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
3,(vodA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
4,(vo)dA,(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
5,(vOda),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
6,vo(dA),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
7,(vOda),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
8,vo(dA),ruu(kA),(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
9,vo(dA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
10,(vodA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
11,(vo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
12,(vOda),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
13,(voo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
14,vo(dA),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
15,(vOda),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
16,vo(dA),ruu(kA),(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
17,vo(dA),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
18,(vodA),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
19,(vOda),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
20,(voo)dA,(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
21,vo(dA),(rUu)ka,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
22,(vOda),(rUu)ka,(brAt),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
23,vo(dA),ruu(kA),(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
24,(vodA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
25,(vOda),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
